"","X","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"205007",205007,116.331607,39.777363,1111027377184,"2016-05-25",7,1,365,36677,99.52,2,1,1,1,6,"Plate",2005,"Hardcover","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","FaXing",45296
"142258",142258,116.378758,40.022927,1111027377378,"2014-04-13",7,0,600,65660,91.38,2,2,1,1,21,"Plate/Tower",2004,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",92196
"136149",136149,116.475533,39.933081,1111027379879,"2013-09-10",7,6,185,42471,43.56,2,1,1,1,5,"Plate",1979,"Other","Brick/Concrete",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",66171
"231342",231342,116.292,39.92869,1111027376907,"2013-03-03",1,0,280,44516,62.9,2,1,1,1,16,"Tower",1990,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",75858
"150730",150730,116.556493,39.917095,1111027375533,"2014-12-03",7,1,144.5,28745,50.27,1,1,1,1,18,"Tower",2000,"Hardcover","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",48667
"178122",178122,116.493317,39.929564,1111027373740,"2016-03-06",1,4,290,37180,78,3,1,1,1,20,"Tower",1997,"Simplicit","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",58820
"277839",277839,116.3719,39.87697,1111027380157,"2013-01-18",1,1,351,38458,91.27,2,1,1,1,23,"Tower",1999,"Other","Steel/Concrete",0.222,"Has_Elevator","Ownership < 5y","No_Subway","XiCheng",80133
"279672",279672,116.348,39.93265,1111027377704,"2013-04-25",7,1,313,56601,55.3,2,1,1,1,6,"Plate",1991,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","XiCheng",98958
"62767",62767,116.301709,39.919502,1111027376614,"2017-08-02",164,100,398,81725,48.7,1,1,1,1,12,"Tower",1992,"Hardcover","Steel/Concrete",0.077,"Has_Elevator","Ownership > 5y","Has_Subway","HaiDian",83338
"122282",122282,116.430562,40.045549,1111027376255,"2012-10-21",7,0,249.8,24291,102.84,2,2,1,2,26,"Tower",2005,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",52306
"117662",117662,116.442504,39.994467,1111027378183,"2012-03-06",1,0,278,28690,96.9,2,1,1,1,25,"Tower",2000,"Other","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",69439
"180898",180898,116.603501,39.919667,1111027377416,"2016-04-30",1,16,358,21935,163.21,3,1,1,2,24,"Tower",1999,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",43307
"128016",128016,116.469306,39.997106,1111027377528,"2013-01-16",7,0,310,39627,78.23,2,1,1,1,26,"Tower",2000,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",76529
"237764",237764,116.3703,39.95238,1111027376468,"2014-10-18",7,9,530,68036,77.9,3,2,2,2,16,"Tower",1996,"Hardcover","Steel/Concrete",0.2,"Has_Elevator","Ownership > 5y","Has_Subway","HaiDian",84024
"969",969,116.342088,39.749733,1111027378968,"2016-07-18",174,25,225,30822,73,2,1,1,1,6,"Plate",1992,"Simplicit","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","FaXing",41149
"112444",112444,116.421842,40.119709,1111027380178,"2016-04-16",1,4,260,28989,89.69,2,1,1,1,6,"Plate",2008,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",42127
"161308",161308,116.411174,40.009768,1111027379783,"2015-07-20",7,7,360,27050,133.09,2,1,1,1,31,"Tower",2000,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",49933
"267594",267594,116.6952,39.93464,1111027375151,"2013-02-28",1,0,112,18452,60.7,1,2,1,1,6,"Plate",2000,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","TongZhou",36953
"4049",4049,116.272241,40.229588,1111041140250,"2016-06-23",78,25,350,26804,130.58,3,2,1,1,5,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",40843
"262770",262770,116.6598,40.12808,1111027377451,"2015-04-06",7,1,176,24469,71.93,2,1,1,1,6,"Plate",1987,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","MenTouGou",49442
"279870",279870,116.3407,39.88485,1111027375147,"2013-05-13",7,0,187,41854,44.68,1,1,1,1,18,"Tower",1997,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","XiCheng",74746
"118453",118453,116.612765,39.905006,1111027374043,"2012-03-26",7,0,101.6,17557,57.87,1,1,1,1,22,"Tower",2005,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",45447
"144194",144194,116.45282,40.011373,1111027375856,"2015-03-22",7,14,168.5,31291,53.85,2,2,1,1,3,"Plate",1990,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",62613
"223304",223304,116.4415,39.87206,1111027374184,"2016-02-20",7,5,490,45037,108.8,3,1,1,2,4,"Plate",1995,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","FengTai",60647
